Run #28	Run #28	Run #28	Run #28
Date and Time	Time (s)	Acceleration (m/s²)	Acceleration (m/s²)
10/07/2025 03:09:33 pm	0.640	0.10	0.19
10/07/2025 03:09:33 pm	0.644	0.00	0.14
10/07/2025 03:09:33 pm	0.648	0.10	0.19
10/07/2025 03:09:33 pm	0.652	0.10	0.10
10/07/2025 03:09:33 pm	0.656	0.10	0.14
10/07/2025 03:09:33 pm	0.660	0.10	0.10
10/07/2025 03:09:33 pm	0.664	0.10	0.19
10/07/2025 03:09:33 pm	0.668	-0.05	0.14
10/07/2025 03:09:33 pm	0.672	0.10	0.19
10/07/2025 03:09:33 pm	0.676	0.10	0.19
10/07/2025 03:09:33 pm	0.680	0.10	0.05
10/07/2025 03:09:33 pm	0.684	0.14	0.05
10/07/2025 03:09:33 pm	0.688	0.10	0.19
10/07/2025 03:09:33 pm	0.692	0.10	0.14
10/07/2025 03:09:33 pm	0.696	0.10	0.14
10/07/2025 03:09:33 pm	0.700	0.05	0.05
10/07/2025 03:09:33 pm	0.704	0.10	0.19
10/07/2025 03:09:33 pm	0.708	0.10	0.05
10/07/2025 03:09:33 pm	0.712	0.05	0.19
10/07/2025 03:09:33 pm	0.716	0.05	0.19
10/07/2025 03:09:33 pm	0.720	0.14	0.19
10/07/2025 03:09:33 pm	0.724	0.05	0.19
10/07/2025 03:09:33 pm	0.728	0.10	0.05
10/07/2025 03:09:33 pm	0.732	0.05	0.10
10/07/2025 03:09:33 pm	0.736	0.10	0.10
10/07/2025 03:09:33 pm	0.740	0.10	0.10
10/07/2025 03:09:33 pm	0.744	0.00	0.10
10/07/2025 03:09:33 pm	0.748	0.10	0.14
10/07/2025 03:09:33 pm	0.752	0.05	0.10
10/07/2025 03:09:33 pm	0.756	0.10	0.10
10/07/2025 03:09:33 pm	0.760	0.05	0.00
10/07/2025 03:09:33 pm	0.764	-0.10	0.05
10/07/2025 03:09:33 pm	0.768	-0.05	0.05
10/07/2025 03:09:33 pm	0.772	0.10	0.10
10/07/2025 03:09:33 pm	0.776	0.10	0.19
10/07/2025 03:09:33 pm	0.780	0.10	0.10
10/07/2025 03:09:33 pm	0.784	0.10	0.10
10/07/2025 03:09:33 pm	0.788	0.10	0.10
10/07/2025 03:09:33 pm	0.792	0.10	0.14
10/07/2025 03:09:33 pm	0.796	0.10	0.05
10/07/2025 03:09:33 pm	0.800	0.10	0.10
10/07/2025 03:09:33 pm	0.804	0.05	0.14
10/07/2025 03:09:33 pm	0.808	0.05	0.10
10/07/2025 03:09:33 pm	0.812	0.10	0.05
10/07/2025 03:09:33 pm	0.816	0.00	0.10
10/07/2025 03:09:33 pm	0.820	0.05	0.10
10/07/2025 03:09:33 pm	0.824	0.00	0.05
10/07/2025 03:09:33 pm	0.828	0.00	0.19
10/07/2025 03:09:33 pm	0.832	0.00	0.19
10/07/2025 03:09:33 pm	0.836	0.14	0.14
10/07/2025 03:09:33 pm	0.840	0.10	0.10
10/07/2025 03:09:33 pm	0.844	0.10	0.00
10/07/2025 03:09:33 pm	0.848	0.00	0.10
10/07/2025 03:09:33 pm	0.852	0.05	0.05
10/07/2025 03:09:33 pm	0.856	0.00	0.14
10/07/2025 03:09:33 pm	0.860	0.10	0.14
10/07/2025 03:09:33 pm	0.864	0.05	0.19
10/07/2025 03:09:33 pm	0.868	0.10	0.14
10/07/2025 03:09:33 pm	0.872	0.14	0.19
10/07/2025 03:09:33 pm	0.876	0.10	0.05
10/07/2025 03:09:33 pm	0.880	0.10	0.10
10/07/2025 03:09:33 pm	0.884	0.10	0.14
10/07/2025 03:09:33 pm	0.888	0.24	0.00
10/07/2025 03:09:33 pm	0.892	0.00	0.19
10/07/2025 03:09:33 pm	0.896	0.05	0.14
10/07/2025 03:09:33 pm	0.900	0.10	0.14
10/07/2025 03:09:33 pm	0.904	0.05	0.19
10/07/2025 03:09:33 pm	0.908	0.29	0.14
10/07/2025 03:09:33 pm	0.912	0.00	0.10
10/07/2025 03:09:33 pm	0.916	0.10	0.14
10/07/2025 03:09:33 pm	0.920	0.10	0.10
10/07/2025 03:09:33 pm	0.924	0.05	0.10
10/07/2025 03:09:33 pm	0.928	0.10	0.05
10/07/2025 03:09:33 pm	0.932	0.10	0.19
10/07/2025 03:09:33 pm	0.936	0.05	0.19
10/07/2025 03:09:33 pm	0.940	0.14	0.14
10/07/2025 03:09:33 pm	0.944	0.10	0.19
10/07/2025 03:09:33 pm	0.948	0.00	0.14
10/07/2025 03:09:33 pm	0.952	0.05	0.14
10/07/2025 03:09:33 pm	0.956	0.10	0.10
10/07/2025 03:09:33 pm	0.960	0.05	0.10
10/07/2025 03:09:33 pm	0.964	0.10	0.19
10/07/2025 03:09:33 pm	0.968	0.10	0.10
10/07/2025 03:09:33 pm	0.972	0.10	0.14
10/07/2025 03:09:33 pm	0.976	0.10	0.00
10/07/2025 03:09:33 pm	0.980	0.10	0.10
10/07/2025 03:09:33 pm	0.984	0.05	0.19
10/07/2025 03:09:33 pm	0.988	0.10	0.19
10/07/2025 03:09:33 pm	0.992	0.00	0.14
10/07/2025 03:09:33 pm	0.996	0.10	0.19
10/07/2025 03:09:34 pm	1.000	0.00	0.29
10/07/2025 03:09:34 pm	1.004	0.10	0.10
10/07/2025 03:09:34 pm	1.008	0.10	0.10
10/07/2025 03:09:34 pm	1.012	0.10	0.10
10/07/2025 03:09:34 pm	1.016	0.14	0.05
10/07/2025 03:09:34 pm	1.020	0.10	0.14
10/07/2025 03:09:34 pm	1.024	0.05	0.14
10/07/2025 03:09:34 pm	1.028	0.10	0.05
10/07/2025 03:09:34 pm	1.032	0.00	0.10
10/07/2025 03:09:34 pm	1.036	0.10	0.14
10/07/2025 03:09:34 pm	1.040	0.00	0.19
10/07/2025 03:09:34 pm	1.044	-0.05	0.14
